ID,Year_Birth,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,IncomeRaw,Living_With,Children,Family_Size,Is_Parent
5524,1967,Graduate,0.5036248705403378,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,1,58138.0,Alone,0,1,0
2174,1964,Graduate,0.39832505981929217,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,46344.0,Alone,2,3,1
4141,1975,Graduate,0.6239330738187921,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,71613.0,Partner,0,2,0
6182,1994,Graduate,0.22245634084496982,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,26646.0,Partner,1,3,1
5324,1991,Postgraduate,0.5050087496875111,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,58293.0,Partner,1,3,1
7446,1977,Postgraduate,0.5426859755008749,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,62513.0,Partner,1,3,1
965,1981,Graduate,0.4812774543766294,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,55635.0,Alone,1,2,1
6177,1995,Postgraduate,0.2832398842898468,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,33454.0,Partner,1,3,1
4855,1984,Postgraduate,0.2555355165886933,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1,30351.0,Partner,1,3,1
5899,1960,Postgraduate,0.034980893539516444,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,0,0,5648.0,Partner,2,4,1
387,1986,Undergraduate,0.051516017285096964,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,7500.0,Partner,0,2,0
2125,1969,Graduate,0.5473286668333274,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,63033.0,Alone,0,1,0
8180,1962,Postgraduate,0.5144816256562265,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,59354.0,Alone,2,3,1
2569,1997,Graduate,0.13921824220563553,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,17323.0,Partner,0,2,0
2114,1956,Postgraduate,0.7238134352344558,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,82800.0,Alone,0,1,0
9736,1990,Graduate,0.35820149280382846,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,41850.0,Partner,2,4,1
4939,1956,Graduate,0.3216849398235777,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,37760.0,Partner,0,2,0
6565,1959,Postgraduate,0.6719849291096746,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,76995.0,Partner,1,3,1
2278,1995,Undergraduate,0.286436198707189,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,33812.0,Alone,1,2,1
9360,1992,Graduate,0.31525659797864364,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,37040.0,Partner,0,2,0
5376,1989,Graduate,0.006401557087246884,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,2447.0,Partner,1,3,1
1993,1959,Postgraduate,0.5078122209921073,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,0,58607.0,Partner,1,3,1
4047,1964,Postgraduate,0.5677832934538052,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,65324.0,Partner,1,3,1
1409,1961,Graduate,0.3478357915788722,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,40689.0,Partner,1,3,1
