ID,Year_Birth,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,IncomeRaw,Living_With,Children,Family_Size,Is_Parent,TotalSpend,TotalPurchases,AvgPurchaseValue,RecencyYears,CustomerSinceYears,AvgFrequencyRate,CustomerValue,CLV,Churn,IncomeBracket,AgeGroup,Segment,SatisfactionScore,ChurnScore,PredictedSatisfaction_RF,PredictedSatisfaction_GB
2174,1964,Graduate,0.3983250598192921,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,46344.0,Alone,2,3,1,27,6,4.5,0.1041095890410958,5.594520547945205,1.0724779627815868,4.826150832517141,30.03443514989567,1,Middle,Senior,0,3.813697449367427,0.5,3.9242538407007217,3.8742487635403218
6182,1994,Graduate,0.2224563408449698,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,26646.0,Partner,1,3,1,53,8,6.625,0.0712328767123287,5.698630136986301,1.403846153846154,9.30048076923077,57.87939420464047,1,Low,Young,0,4.240454561934761,0.5,4.260094368450084,4.26639193374962
6177,1995,Postgraduate,0.2832398842898468,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,33454.0,Partner,1,3,1,169,10,16.9,0.0876712328767123,6.443835616438356,1.5518707482993197,26.2266156462585,163.21528567269297,0,Middle,Young,0,4.319297025924607,0.1,4.163200262629415,4.203442650400673
4855,1984,Postgraduate,0.2555355165886933,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1,30351.0,Partner,1,3,1,46,6,7.666666666666667,0.0520547945205479,6.3999999999999995,0.9375,7.187500000000001,44.72974636130137,0,Middle,Middle-Aged,0,6.670801679760306,0.4,6.820766917648595,6.6854935564035465
5899,1960,Postgraduate,0.0349808935395164,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,0,0,5648.0,Partner,2,4,1,49,2,24.5,0.1863013698630137,5.498630136986302,0.3637269556552067,8.911310413552565,55.45748237148241,1,Low,Senior,0,2.8858513111835644,0.65,3.366604864531865,3.1793162281536604
387,1986,Undergraduate,0.0515160172850969,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,7500.0,Partner,0,2,0,61,6,10.166666666666666,0.1616438356164383,6.852054794520548,0.8756497401039585,8.902439024390244,55.40227332979851,1,Low,Middle-Aged,0,3.3406057944397323,0.65,3.4180705943624643,3.375806219783243
2569,1997,Graduate,0.1392182422056355,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,17323.0,Partner,0,2,0,46,5,9.2,0.1041095890410958,7.002739726027397,0.7140062597809077,6.568857589984351,40.879768192488264,1,Low,Young,0,3.7749644758266623,0.5,3.9242538407007217,3.8290859160642494
9736,1990,Graduate,0.3582014928038284,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,41850.0,Partner,2,4,1,96,9,10.666666666666666,0.1397260273972602,6.761643835616439,1.331037277147488,14.19773095623987,88.35629976745824,0,Middle,Young,0,3.736352357193028,0.25,3.565656545126324,3.748003926683337
4939,1956,Graduate,0.3216849398235777,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,37760.0,Partner,0,2,0,317,13,24.384615384615383,0.0547945205479452,7.161643835616438,1.8152257077276208,44.263580719204285,275.46417232876485,0,Middle,Senior,0,4.918223219832823,0.1,4.844288805663501,4.83449421044778
2278,1995,Undergraduate,0.286436198707189,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,33812.0,Alone,1,2,1,133,8,16.625,0.2356164383561644,6.8054794520547945,1.1755233494363928,19.54307568438003,121.62181822358748,0,Middle,Young,0,2.8725408842933065,0.35,2.8503511652139566,2.869329178906603
9360,1992,Graduate,0.3152565979786436,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,37040.0,Partner,0,2,0,316,12,26.333333333333332,0.1123287671232876,7.167123287671234,1.6743119266055044,44.09021406727828,274.38526500797764,0,Middle,Young,0,4.355295401143041,0.1,4.352287775094934,4.333389473131179
7892,1979,Graduate,0.1505214099496446,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,18589.0,Alone,0,1,0,75,8,9.375,0.2438356164383561,6.632876712328767,1.2061131763733994,11.30731102850062,70.36843886374656,1,Low,Middle-Aged,0,2.7454711671941605,0.5,2.8503511652139566,2.8248061872110064
2404,1986,Graduate,0.4609567515445877,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,53359.0,Partner,2,4,1,257,14,18.357142857142858,0.010958904109589,6.468493150684931,2.164337145277425,39.73104616687844,247.2569902905917,0,Middle,Middle-Aged,0,5.303121518380086,0.1,4.836740258572842,5.137359872912978
9422,1999,Graduate,0.3270418913610228,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,38360.0,Partner,1,3,1,131,9,14.555555555555555,0.0712328767123287,6.397260273972603,1.4068522483940042,20.47751605995717,127.43709210036307,0,Middle,Young,0,4.37098400679901,0.1,4.310272669505388,4.368336758798496
